time;dt;integrator,Out1
0,00;0.0;0
0,10;0.1;0
0,20;0.1;0
0,30;0.1;0
0,40;0.1;0
0,50;0.1;0
0,60;0.1;0
0,70;0.1;0
0,80;0.1;0
0,90;0.1;0
1,00;0.1;0
1,10;0.1;0,099
1,20;0.1;0,199
1,30;0.1;0,289199
1,40;0.1;0,369399
1,50;0.1;0,440569299
1,60;0.1;0,503709599
1,70;0.1;0,559723839
1,80;0.1;0,60941602
1,90;0.1;0,65349965
2,00;0.1;0,69260774
2,10;0.1;0,727301859
2,20;0.1;0,758080193
2,30;0.1;0,785384701
2,40;0.1;0,80960746
2,50;0.1;0,831096295
2,60;0.1;0,850159771
2,70;0.1;0,867071631
2,80;0.1;0,882074717
2,90;0.1;0,895384466
3,00;0.1;0,907191997
3,10;0.1;0,91766686
3,20;0.1;0,926959468
3,30;0.1;0,935203257
3,40;0.1;0,942516603
3,50;0.1;0,949004521
3,60;0.1;0,954760174
3,70;0.1;0,95986621
3,80;0.1;0,964395948
3,90;0.1;0,968414433
4,00;0.1;0,971979368
4,10;0.1;0,975141943
4,20;0.1;0,977947571
4,30;0.1;0,98043654
4,40;0.1;0,982644588
4,50;0.1;0,984603423
4,60;0.1;0,986341172
4,70;0.1;0,987882789
4,80;0.1;0,989250409
4,90;0.1;0,990463672
5,00;0.1;0,991539999
5,10;0.1;0,992494845
5,20;0.1;0,993341921
5,30;0.1;0,994093392
5,40;0.1;0,994760047
5,50;0.1;0,995351459
5,60;0.1;0,995876121
5,70;0.1;0,996341566
5,80;0.1;0,996754479
5,90;0.1;0,997120788
6,00;0.1;0,997445753
6,10;0.1;0,99773404
6,20;0.1;0,99798979
6,30;0.1;0,998216674
6,40;0.1;0,998417951
6,50;0.1;0,99859651
6,60;0.1;0,998754917
6,70;0.1;0,998895444
6,80;0.1;0,999020111
6,90;0.1;0,999130707
7,00;0.1;0,999228821
7,10;0.1;0,99931586
7,20;0.1;0,999393077
7,30;0.1;0,999461578
7,40;0.1;0,999522347
7,50;0.1;0,999576258
7,60;0.1;0,999624084
7,70;0.1;0,999666512
7,80;0.1;0,999704151
7,90;0.1;0,999737543
8,00;0.1;0,999767165
8,10;0.1;0,999793444
8,20;0.1;0,999816757
8,30;0.1;0,999837439
8,40;0.1;0,999855787
8,50;0.1;0,999872064
8,60;0.1;0,999886503
8,70;0.1;0,999899313
8,80;0.1;0,999910677
8,90;0.1;0,999920759
9,00;0.1;0,999929702
9,10;0.1;0,999937637
9,20;0.1;0,999944675
9,30;0.1;0,99995092
9,40;0.1;0,999956459
9,50;0.1;0,999961373
9,60;0.1;0,999965733
9,70;0.1;0,999969601
9,80;0.1;0,999973032
9,90;0.1;0,999976075
10,00;0.1;0,999978776
10,00;1.9539925233402755E-14;0,999978776
